店铺id,用户名称,评论,星级,时间
174931132,匿名用户,挺好喝的，团价很值，还会再去，,40,1.54E+12
174931132,时间在走.269,茉莉小可爱不腻 不过感觉黑糖脏脏奶最好喝,40,1.54E+12
174931132,LINYANLING107,百香果益力多很好喝(✪▽✪)环境很舒适，可是还是希望可以有便利贴写愿望墙,40,1.53E+12
174931132,zLl714491409,美团买的更加划算便宜，脏脏茶好喝，很好喝,40,1.54E+12
174931132,匿名用户,好甜黑糖藏藏茶，不好喝！性价比不高,20,1.54E+12
174931132,Fun的呀,还是要记录好的和开心的，不好的说一次就过去啦～ 回头客啦，挺好喝的奶茶，里面的小爆珠真的是一大亮点，不知道换成西米会怎么样�� 奶茶不腻，应该是喝了也不会睡不着的那种，茉莉小可爱，有机会的话再喝呀哈哈哈���,40,1.53E+12
174931132,卡西莫多de礼物＆,很好喝，也很大杯,40,1.54E+12
174931132,H.s451,今天喝到了钢丝球的钢丝还是什么鬼的,10,1.54E+12
174931132,风中暮雪,在美团和喝答案茶很实惠，味道也很好,40,1.54E+12
174931132,kuangli11,不建议芝士奶茶，有点腻。芝士水果茶好喝,30,1.54E+12
174931132,Uew510977931,很喜欢，是想要的咸奶盖，值得推荐,40,1.54E+12
174931132,VMS780760044,小哥哥真的又帅又温柔~奶茶的甜度也刚刚好呢~,40,1.54E+12
174931132,ruZ342646878,不太好喝。。。就这样还网红茶。。。。。。。。。。。,10,1.54E+12
174931132,KwF629022577,终于能喝到一杯期待已久的答案茶�,40,1.53E+12
174931132,wwkeita_1216,挺好玩的，买了养乐多百香果，比想象的好喝,40,1.53E+12
174931132,fcf670686188,味道好香，挺好喝的，就是有点甜,40,1.53E+12
174931132,匿名用户,可以的黑糖，做的速度惊人，来不去交代甜度。,40,1.53E+12
174931132,loveyy732,还行吧 【口味】还行 【服务】很好,20,1.53E+12
174931132,jWn977946306,在美团团购的，性价比很高，好喝。还有买的人提问题，茶给答案，这样的创意不错哦,40,1.53E+12
174931132,lpT392634324,茉莉小可爱好喝诶�不过答案在哪？,40,1.53E+12
184621365,匿名用户,喝起来还不错，就是等的时间有点久,40,1.55E+12
184621365,敏西西～,经常去吃，很棒！！！！！！！！,40,1.55E+12
178075068,wFi178374730,口未一般，不太会欣赏！环境不错加分,20,1.55E+12
178075068,CM小天使,老板服务好～冲着这一点就不错了，最喜欢他们家的奶盖……,30,1.55E+12
178075068,CM小天使,味道不错，重要的是老板服务态度好好啊！暖心～,40,1.55E+12
178075068,CM小天使,味道还不错，喜欢奶盖的味道～,40,1.55E+12
178075068,土豆芥末a,环境不错喔，夏天去每张都有风扇还有数据线可以充电，服务员小哥哥也超级好的，就是味道一般喔,20,1.54E+12
178075068,HcK606104882,珍珠好吃，甜甜的,40,1.54E+12
178075068,冬天Am,小哥哥很幽默，喝杯奶茶体验一下午,30,1.54E+12
178075068,七柳先生122,感觉环境不错，奶茶也很好喝，老板人很好,30,1.54E+12
178075068,QfW694666705,喜欢那里的黑糖珍珠，Q弹,40,1.54E+12
178075068,CM小天使,老板没有以前热情了，可能是生意不太好……,30,1.54E+12
178075068,小明’,真心不好喝，答案茶都觉得好一般。,20,1.54E+12
178075068,匿名用户,环境很好，超级喜欢！味道很好，服务态度也不错,40,1.53E+12
178075068,UoI235128825,一般吧！个人觉得，可能我不太喜欢喝茶，但茶上的奶好喝,30,1.53E+12
178075068,沫茶小店,我点的是四季春茶味够，个人觉得偏甜，小哥哥的服务礼貌不错，就是想问问为什么店里的植物为什么不是真的？,30,1.53E+12
178075068,沫茶小店,甜到爆！说好的少冰半糖-_-||,30,1.53E+12
178075068,匿名用户,喜欢这里的纯茶，清香,40,1.53E+12
164923519,匿名用户,比较偏港味的奶茶 珍珠Q弹有嚼劲 还不错,30,1.55E+12
164923519,chmf1983,感觉还行吧。。。。。。。。。。。。。。,30,1.55E+12
164923519,mBS479209101,感觉很ok啊就三五个朋友逛逛商场买杯喝的就很巴适,40,1.55E+12
164923519,vkk834766595,很实惠性价比高，老顾客了，推荐哈~,40,1.55E+12
164923519,Apw781029435,点了个芭乐益生菌，非常难喝，糖精调出来的，和芭乐完全没关系，也没有益生菌，喝一口就扔了,10,1.55E+12
164923519,rVV323135423,研绿真的好好喝！！！,40,1.55E+12
164923519,wuf583985908,环境还是蛮喜欢的，虽然位置不是太多,40,1.55E+12
164923519,z奥特曼,服务员很有礼貌，点的是水果茶，西瓜很多，味道还不错,30,1.55E+12
164923519,Mikitigerr,个人觉得一般。。。。。。。。。,20,1.55E+12
164923519,shirleyweng68,饮品不错，性价比好，下次还来！,40,1.55E+12
164923519,blu811628330,还不错,40,1.55E+12
164923519,blu811628330,还不错,40,1.55E+12
164923519,匿名用户,巨难喝，我从未喝过如此难喝的奶茶，喝完再也没爱了,10,1.55E+12
164923519,匿名用户,逛街看到的，味道一般般～～～～,30,1.54E+12
164923519,rVV323135423,喜欢喜欢，好喝！,40,1.54E+12
164923519,有芒果小丸子吗,挺好喝,40,1.54E+12
164923519,匿名用户,额，味道一般般，没有特别，口感一般，价钱合理,20,1.54E+12
164923519,小肥马坏马,我们点的布蕾奶茶，店员说是蛋糕粉+奶油。结果，奶油只是涂在杯子上薄薄一层，蛋糕粉就未可知。然后加了一半的冰块。尽管这是奶茶店的套路，这该有的奶油偷工减料成这样。这是我团购史上的一次差评。无论团购还是现在买，都是低成本，高利润。我只能说呵呵啦。,20,1.54E+12
164923519,mandy1229,之后来亚运城必团一杯(づ ●─● )づ,40,1.54E+12
164923519,美丽的御史大夫,好好喝！！！少冰少糖！！珍珠本身有点甜，所以我觉得少糖就好了，脏脏奶茶！，肯定会喝第二次！第一次经过亚运城，在广场的四楼，出电梯就是了，虽然没有很大间，也没有面包，但是味道很合我就口味！，第一次尝试，美团买便宜很多！,40,1.53E+12
